[What is the medical abbreviation for BOTH eyes], [OU]
[During which day of onset is COVID-19 most contagious], [Day 3]
[What kind of clinic is found in colleges/universities and is often used for students’ learning], [Medical center clinics]
[Which of the following lobes of the brain control how you process shapes, colors and movement], [Occipital]
[What does the suffix -malacia denote], [Softening]
[What is another term for deciduous teeth], [Primary dentition]
[What is the suffix for a closure or the absence of a normal body opening], [-atresia]
[What was the year in which AIDS was identified as a disease], [1981]
[When does a motion not require a second to be considered], [When an officer makes the motion]
[Which of the following types of glands primarily produce earwax], [Ceruminous]
[When a Governor talks about a law that would put a cap on malpractice lawsuit awards, they are talking about], [Cost containment]
[Which type of pathogen would be treated with hyperbaric pressure], [Anaerobic]
[How did Roentgen's discovery in the 19th century contribute to the advancement of medicine], [Could view internal aspects of the body]
[Candida albicans causes an infection that can be identified by white patch areas in the mouth and is frequently seen in infants. This infection is known as], [Thrush]
[How many sacral vertebrae are there], [5]
[The abbreviations Fx and Bx (followed by further information) are written on a patient’s document. What might be indicated on the document], [The patient has a fracture and requires treatment.]
[What technology is currently being used to treat severe sickle–cell disease], [CRISPR Gene Editing]
[Which of the following protects sensitive patient health information from being disclosed without the patient’s consent or knowledge], [Health Insurance Portability and Accountability Act]
[An object accidentally left inside of a patient after surgery is also known as a/an], [Gossypiboma]
[Which of the following terms refer to the prevention of growth of pathogens on living tissue], [Antisepsis]
[The Anglo-Saxons of the 10th century believed one cause of illness was an attack with a shower of arrows shot by the mischievous...], [Elves]
[Which of the following complications in pregnancy causes elevated liver enzymes and low platelet count], [HELLP syndrome]
[Which of the following people is the Central Region Vice President at HOSA], [Tristen Rothrum]
[Your patient Darina is experiencing a large amount of hair loss. What is the medical term for this condition], [Alopecia]
